Pe, PeSim, PeFull
3.990000,4.899906,3.789940
6.980000,7.385655,5.861237
9.970000,12.830921,9.847966
12.960000,14.764691,14.530428
15.950000,14.989231,16.628229
18.940000,19.204233,18.627517
21.930000,27.039048,30.273452
24.920000,24.196342,21.737427
27.910000,24.537956,17.307822
30.900000,31.478915,31.578152
33.890000,35.500857,29.950493
36.880000,37.478658,37.290185
39.870000,34.679009,28.485632
42.860000,39.685924,44.292211
45.850000,46.174463,54.492880
48.840000,50.894436,62.052550
51.830000,57.997698,44.880283
54.820000,56.714982,47.501919
57.810000,52.943695,63.807897
60.800000,54.216303,38.503390
63.790000,56.264336,36.479764
66.780000,59.836317,54.166187
69.770000,84.498533,85.778595
72.760000,79.237112,72.532014
75.750000,75.318179,73.581703
78.740000,76.373865,55.831160
81.730000,72.473394,109.017280
84.720000,95.063254,111.763790
87.710000,105.831545,100.962656
90.700000,83.965455,74.341310
93.690000,95.268317,66.048872
96.680000,103.706267,173.783223
99.670000,93.540690,108.854693
102.660000,106.435173,85.400648
105.650000,103.616079,175.380636
108.640000,95.323131,97.766985
111.630000,107.459461,96.075891
114.620000,132.136650,125.032354
117.610000,118.918810,148.763985
120.600000,116.976795,112.846024
123.590000,120.605193,142.820263
126.580000,115.002861,98.813915
129.570000,136.346333,120.891091
132.560000,137.986620,156.318480
135.550000,131.040454,134.587971
138.540000,151.142678,138.992681
141.530000,135.335125,139.782930
144.520000,147.496817,111.266152
147.510000,140.547275,95.512703
150.500000,135.258637,70.515037
153.490000,159.646336,136.834654
156.480000,111.190792,87.304327
159.470000,148.097345,114.740205
162.460000,159.728243,125.970008
165.450000,147.216080,171.001710
168.440000,166.238103,148.277945
171.430000,171.352315,236.296663
174.420000,182.797344,147.856159
177.410000,163.626490,129.167338
180.400000,157.724035,129.834183
183.390000,177.405359,158.281355
186.380000,216.538283,195.967474
189.370000,201.817574,221.236176
192.360000,171.371777,149.708622
195.350000,202.638024,204.823821
198.340000,261.561504,358.036581
